Position,Name,Jersey,Rating,Raking,Depth,Height,Weight,Age,Birthday,Experience,College,Team
PG,Trae Young,8,89,#6 PG,1,"6' 0""",178,21,9/19/98,2nd season,Oklahoma,Atlanta Hawks
PG,Jeff Teague,0,76,#31 PG,2,"6' 2""",194,31,10/6/1988,11th season,Wake Forest,Atlanta Hawks
PG,Brandon Goodwin,0,68,#106 PG,3,"6' 0""",178,24,2/10/1995,2nd season,,Atlanta Hawks
SG,Kevin Huerter,3,72,#42 SG,1,"6' 7""",189,21,8/27/98,2nd season,Maryland,Atlanta Hawks
SG,Treveon Graham,2,74,#65 SG,4,"6' 5""",222,25,10/28/93,4th season,Virginia Commonwealth,Atlanta Hawks
SF,De'Andre Hunter,12,76,#32 SF,1,"6' 7""",224,21,2/12/1997,Rookie,Virginia,Atlanta Hawks
SF,DeAndre' Bembry,95,74,#44 SF,2,"6' 5""",209,25,4/7/1994,4th season,Saint Joseph's,Atlanta Hawks
SF,Cam Reddish,22,70,#66 SF,2,"6' 7""",207,20,1/9/1999,Rookie,Duke,Atlanta Hawks
SF,Charlie Brown,4,70,#83 SF,,"6' 5""",198,22,2/2/1997,Rookie,Saint Joseph's,Atlanta Hawks
PF,John Collins,20,83,#7 PF,1,"6' 9""",233,22,9/23/97,3rd season,Wake Forest,Atlanta Hawks
PF,Vince Carter,15,69,#57 PF,3,"6' 5""",218,42,1/26/77,22nd season,UNC,Atlanta Hawks
C,Clint Capela,15,87,#4 C,1,"6' 9""",238,25,5/18/94,6th season,,Atlanta Hawks
C,Dewayne Dedmon,13,75,#86 C,2,"6' 11""",244,30,12/8/1989,7th season,USC,Atlanta Hawks
C,Skal Labissiere,17,72,#47 C,2,"6' 9""",213,23,3/18/96,4th season,Kentucky,Atlanta Hawks
C,Bruno Fernando,24,76,#75 C,3,"6' 9""",231,21,8/15/98,Rookie,Maryland,Atlanta Hawks
C,Damian Jones,30,72,#65 C,4,"6' 11""",244,24,6/30/95,4th season,Vanderbilt,Atlanta Hawks
PG,Kemba Walker,8,90,#17 PG,1,"6' 0""",171,29,8/5/1990,9th season,UConn,Boston Celtics
PG,Marcus Smart,36,78,#54 PG,2,"6' 2""",224,25,6/3/1994,6th season,Oklahoma State,Boston Celtics
PG,Brad Wanamaker,9,76,#67 PG,2,"6' 2""",209,30,7/25/89,2nd season,Pitt,Boston Celtics
PG,Tremont Waters,51,71,#104 PG,4,"5' 10""",174,21,10/1/1998,Rookie,LSU,Boston Celtics
SG,Carsen Edwards,4,73,#36 SG,3,"5' 10""",198,21,12/3/1998,Rookie,Purdue,Boston Celtics
SG,Romeo Langford,45,71,#24 SG,3,"6' 3""",213,19,10/25/99,Rookie,Indiana,Boston Celtics
SF,Jaylen Brown,7,83,#7 SF,1,"6' 5""",222,22,10/24/96,4th season,California,Boston Celtics
SF,Javonte Green,43,70,#53 SF,5,"6' 3""",218,26,7/23/93,Rookie,Radford,Boston Celtics
PF,Jayson Tatum,0,89,#14 PF,1,"6' 7""",202,21,3/3/1998,3rd season,Duke,Boston Celtics
PF,Gordon Hayward,20,85,#19 PF,1,"6' 7""",205,29,3/23/90,10th season,Butler,Boston Celtics
PF,Grant Williams,12,70,#94 PF,2,"6' 5""",235,20,11/30/98,Rookie,Tennessee,Boston Celtics
PF,Semi Ojeleye,37,68,#95 PF,2,"6' 5""",233,24,5/12/1994,3rd season,,Boston Celtics
C,Daniel Theis,27,78,#44 C,1,"6' 7""",213,27,4/4/1992,3rd season,,Boston Celtics
C,Enes Kanter,11,77,#18 C,2,"6' 9""",260,27,5/20/92,9th season,,Boston Celtics
C,Robert Williams,44,78,#62 C,3,"6' 7""",235,22,10/17/97,2nd season,Texas A&M,Boston Celtics
C,Tacko Fall,99,68,#98 C,4,"7' 4""",310,23,10/12/1995,Rookie,Central Florida,Boston Celtics
C,Vincent Poirier,77,75,#92 C,,"6' 11""",233,26,10/17/93,Rookie,,Boston Celtics
PG,Kyrie Irving,11,91,#3 PG,1,"6' 2""",194,27,3/23/92,9th season,Duke,Brooklyn Nets
PG,Spencer Dinwiddie,26,83,#37 PG,2,"6' 5""",213,26,6/4/1993,6th season,Colorado,Brooklyn Nets
PG,Garrett Temple,17,71,#103 PG,2,"6' 5""",194,33,8/5/1986,10th season,LSU,Brooklyn Nets
PG,Chris Chiozza,4,67,#109 PG,4,"5' 10""",174,23,11/21/95,2nd season,Florida,Brooklyn Nets
PG,Jeremiah Martin,0,67,#95 PG,,"6' 2""",182,23,6/19/96,Rookie,Memphis,Brooklyn Nets
SG,Theo Pinson,1,71,#79 SG,3,"6' 5""",211,23,5/11/1995,2nd season,UNC,Brooklyn Nets
SF,Caris LeVert,22,79,#40 SF,1,"6' 5""",202,25,8/25/94,4th season,Michigan,Brooklyn Nets
SF,Joe Harris,12,75,#43 SF,1,"6' 5""",218,28,6/9/1991,6th season,Virginia,Brooklyn Nets
SF,Taurean Prince,2,74,#61 SF,1,"6' 7""",216,25,3/22/94,4th season,Baylor,Brooklyn Nets
SF,Dzanan Musa,13,69,#81 SF,3,"6' 9""",216,20,8/5/1999,2nd season,,Brooklyn Nets
SF,Timothe Luwawu-Cabarrot,9,72,#48 SF,5,"6' 7""",209,24,9/5/1995,4th season,,Brooklyn Nets
PF,Rodions Kurucs,0,72,#99 PF,2,"6' 9""",227,21,5/2/1998,2nd season,,Brooklyn Nets
PF,Wilson Chandler,21,70,#80 PF,2,"6' 7""",233,32,10/5/1987,12th season,DePaul,Brooklyn Nets
PF,Nicolas Claxton,33,74,#78 PF,3,"6' 11""",213,20,4/17/99,Rookie,Georgia,Brooklyn Nets
PF,Kevin Durant,35,99,#2 PF,4,"6' 9""",238,31,9/29/88,13th season,Texas,Brooklyn Nets
C,Jarrett Allen,31,83,#46 C,1,"6' 11""",235,21,4/21/98,3rd season,Texas,Brooklyn Nets
C,DeAndre Jordan,6,79,#40 C,2,"6' 11""",264,31,7/21/88,12th season,Texas A&M,Brooklyn Nets
PG,Devonte' Graham,4,84,#19 PG,1,"6' 0""",182,24,2/22/95,2nd season,Kansas,Charlotte Hornets
PG,Terry Rozier,3,80,#23 PG,1,"6' 0""",189,25,3/17/94,5th season,Louisville,Charlotte Hornets
PG,Kobi Simmons,3,67,#110 PG,,"6' 5""",165,22,4/7/1997,3rd season,Arizona,Charlotte Hornets
SG,Dwayne Bacon,7,71,#77 SG,2,"6' 5""",220,24,8/30/95,3rd season,Florida State,Charlotte Hornets
SG,Malik Monk,1,75,#27 SG,3,"6' 2""",198,21,4/2/1998,3rd season,Kentucky,Charlotte Hornets
SF,Miles Bridges,0,76,#12 SF,1,"6' 5""",224,21,3/21/98,2nd season,Michigan State,Charlotte Hornets
SF,Nicolas Batum,5,71,#45 SF,2,"6' 9""",198,30,12/14/88,12th season,,Charlotte Hornets
SF,Cody Martin,11,75,#75 SF,4,"6' 5""",202,24,9/28/95,Rookie,,Charlotte Hornets
SF,Caleb Martin,10,69,#87 SF,,"6' 5""",202,24,9/28/95,Rookie,,Charlotte Hornets
PF,PJ Washington,25,80,#24 PF,1,"6' 7""",235,21,8/23/98,Rookie,Kentucky,Charlotte Hornets
PF,Ray Spalding,26,70,#102 PF,,"6' 9""",213,22,11/3/1997,2nd season,Louisville,Charlotte Hornets
PF,Jalen McDaniels,6,68,#100 PF,,"6' 9""",191,21,1/31/98,Rookie,San Diego State,Charlotte Hornets
C,Bismack Biyombo,11,75,#28 C,1,"6' 7""",253,27,8/28/92,9th season,,Charlotte Hornets
C,Cody Zeller,40,79,#23 C,2,"6' 11""",238,27,5/10/1992,7th season,Indiana,Charlotte Hornets
C,Willy Hernangomez,9,80,#74 C,3,"6' 11""",238,25,5/27/94,4th season,,Charlotte Hornets
PG,Zach LaVine,8,83,#14 PG,1,"6' 5""",180,24,10/3/1995,6th season,UCLA,Chicago Bulls
PG,Tomas Satoransky,31,80,#65 PG,1,"6' 7""",196,27,10/30/91,4th season,,Chicago Bulls
PG,Kris Dunn,32,76,#78 PG,1,"6' 2""",202,25,3/18/94,4th season,Providence,Chicago Bulls
